Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,377.0,1.0,377.0,377.0,0.1,369.40976000000086,0.0,0.0,0.01232457160949707,,,,,,,,,,,,,,,,,,,,,160.31632677724036,92.58365425777208,309.58937396353366,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,695.0,2.0,318.0,695.0,0.1,311.0078400000008,0.0,0.0,30.530540704727173,,,,,,,,,,,,,,,,,,,,,141.4657316182485,80.080564331273,266.5545799507185,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,943.0,3.0,248.0,943.0,0.1,229.65120000000042,0.0,0.0,54.30761766433716,,,,,,,,,,,,,,,,,,,,,102.04876191005542,64.44583462687041,204.7524071081154,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,1062.0,4.0,119.0,1062.0,0.1,107.5279999999999,0.0,0.0,65.85465478897095,,,,,,,,,,,,,,,,,,,,,50.75171885778837,32.27622610193871,101.69182741893368,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,1272.0,5.0,210.0,1272.0,0.1,201.8459200000003,0.0,0.0,86.1880156993866,,,,,,,,,,,,,,,,,,,,,94.90511200389884,55.45031341563742,182.2802246482533,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,1329.0,6.0,57.0,1329.0,0.1,46.40591999999998,0.0,0.0,91.9066424369812,,,,,,,,,,,,,,,,,,,,,22.51223238526294,14.116716254179755,45.213103748433134,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,1425.0,7.0,96.0,1425.0,0.1,77.20847999999998,0.0,0.0,101.15770745277405,,,,,,,,,,,,,,,,,,,,,33.31856049791707,24.82227202958358,74.15814031468905,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,1493.0,8.0,68.0,1493.0,0.1,53.128799999999934,0.0,0.0,107.90615057945251,,,,,,,,,,,,,,,,,,,,,23.28694530323354,17.244031001466173,51.64853313712124,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,1556.0,9.0,63.0,1556.0,0.1,55.56591999999997,0.0,0.0,113.90090107917786,,,,,,,,,,,,,,,,,,,,,27.659989893729133,17.093254257834804,53.93114900355317,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,1797.0,10.0,241.0,1797.0,0.1,223.52560000000025,0.0,0.0,136.9109206199646,,,,,,,,,,,,,,,,,,,,,99.63480180445441,61.46071189756419,199.91323933054844,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,1872.0,11.0,75.0,1872.0,0.1,56.80879999999996,0.0,0.0,144.2828185558319,,,,,,,,,,,,,,,,,,,,,25.47455731906792,18.64515506432535,55.008169531964306,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,1959.0,12.0,87.0,1959.0,0.1,72.96687999999996,0.0,0.0,153.04893326759338,,,,,,,,,,,,,,,,,,,,,32.65719162613086,23.567704129444678,70.2661663951505,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,2069.0,13.0,110.0,2069.0,0.1,97.84639999999996,0.0,0.0,164.1605658531189,,,,,,,,,,,,,,,,,,,,,45.88178294768493,28.828480983829945,92.98528145338001,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,2131.0,14.0,62.0,2131.0,0.1,55.684799999999974,0.0,0.0,170.07902693748474,,,,,,,,,,,,,,,,,,,,,28.382397953032736,17.20610416091035,54.03310350081009,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,2169.0,15.0,38.0,2169.0,0.1,22.12704000000002,0.0,0.0,173.8901047706604,,,,,,,,,,,,,,,,,,,,,8.552241815629937,7.641657817501714,21.845724414109867,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,2681.0,16.0,512.0,2681.0,0.1,501.1257600000013,0.0,0.0,222.91443943977356,,,,,,,,,,,,,,,,,,,,,212.3859972212327,115.34052965838005,393.1700764054635,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,2777.0,17.0,96.0,2777.0,0.1,63.1375999999999,0.0,0.0,232.19212579727173,,,,,,,,,,,,,,,,,,,,,23.708201961219743,21.211384056629385,60.98351866553531,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,2983.0,18.0,206.0,2983.0,0.1,184.8120000000001,0.0,0.0,252.5526580810547,,,,,,,,,,,,,,,,,,,,,84.8965485930758,52.71037653490561,167.65846025186994,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,3202.0,19.0,219.0,3202.0,0.1,203.84784000000002,0.0,0.0,273.8652112483978,,,,,,,,,,,,,,,,,,,,,93.00970425288926,56.040414121551024,183.84622336913242,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,3415.0,20.0,213.0,3415.0,0.1,209.4049600000001,0.0,0.0,294.00551295280457,,,,,,,,,,,,,,,,,,,,,99.21649929708099,56.80680917197978,188.64895491058812,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,713.0,1.0,713.0,4128.0,0.1,715.807039999997,0.0,0.0,953.5933029651642,,,,,,,,,,,,,,,,,,,,,286.48336756125707,150.94152846614307,512.5690244086172,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,765.0,2.0,52.0,4180.0,0.1,45.525919999999985,0.0,0.0,958.6002941131592,,,,,,,,,,,,,,,,,,,,,23.608784350015924,12.53996298704256,44.38699281243123,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,1557.0,3.0,792.0,4972.0,0.1,770.7750399999945,0.0,0.0,1033.946827173233,,,,,,,,,,,,,,,,,,,,,294.4769069350019,162.19619731194902,538.6260431677715,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,1906.0,4.0,349.0,5321.0,0.1,326.56880000000024,0.0,0.0,1067.9713308811188,,,,,,,,,,,,,,,,,,,,,141.27292505451706,83.87607618104589,277.81991115837957,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,2350.0,5.0,444.0,5765.0,0.1,403.3712,0.0,0.0,1109.8942787647247,,,,,,,,,,,,,,,,,,,,,169.78902560748926,96.32010497898601,328.6418276437345,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,2587.0,6.0,237.0,6002.0,0.1,217.4854400000003,0.0,0.0,1132.8752551078796,,,,,,,,,,,,,,,,,,,,,98.19223648288173,59.567747124724605,194.6028911329319,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,2790.0,7.0,203.0,6205.0,0.1,198.3268800000003,0.0,0.0,1152.4505896568298,,,,,,,,,,,,,,,,,,,,,92.83019903955349,54.130157871080456,179.84185346003733,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,2875.0,8.0,85.0,6290.0,0.1,71.72719999999995,0.0,0.0,1160.7080733776093,,,,,,,,,,,,,,,,,,,,,32.26759067261425,23.183553104189976,69.12263093206097,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,2999.0,9.0,124.0,6414.0,0.1,111.12559999999993,0.0,0.0,1173.0350069999695,,,,,,,,,,,,,,,,,,,,,53.226861038746286,32.497937701204236,104.73483416469075,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,3275.0,10.0,276.0,6690.0,0.1,265.2065600000003,0.0,0.0,1199.9629180431366,,,,,,,,,,,,,,,,,,,,,118.57668435188167,70.13343197924,232.94505227838533,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,3349.0,11.0,74.0,6764.0,0.1,60.80783999999994,0.0,0.0,1207.372567653656,,,,,,,,,,,,,,,,,,,,,27.407773834946358,19.892359933539876,58.897400640093515,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,3768.0,12.0,419.0,7183.0,0.1,410.60960000000097,0.0,0.0,1247.6303136348724,,,,,,,,,,,,,,,,,,,,,177.69041733780298,102.07098616452458,336.8306395839891,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,4102.0,13.0,334.0,7517.0,0.1,321.04592000000065,0.0,0.0,1279.7037155628204,,,,,,,,,,,,,,,,,,,,,141.27451763242942,82.23287105675918,274.4087742504954,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,4336.0,14.0,234.0,7751.0,0.1,219.72672000000034,0.0,0.0,1302.3206672668457,,,,,,,,,,,,,,,,,,,,,99.48523026713349,59.8535024856957,196.84066059802632,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,4659.0,15.0,323.0,8074.0,0.1,309.0065600000006,0.0,0.0,1333.2054176330566,,,,,,,,,,,,,,,,,,,,,136.15287791124172,79.46367308360382,265.5600349445233,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
